Timestamp,Temperature (°F),Humidity (%)
2026-01-16 19:34:55,69.44,54.0
2026-01-16 19:35:00,69.44,54.0
2026-01-16 19:35:05,69.44,54.0
2026-01-16 19:35:10,69.44,54.0
2026-01-16 19:35:15,69.44,54.0
2026-01-16 19:35:20,69.44,54.0
2026-01-16 19:35:25,69.44,54.0
2026-01-16 19:35:30,69.44,54.0
2026-01-16 19:35:35,69.44,54.0
2026-01-16 19:35:40,69.44,54.0
2026-01-16 19:35:45,69.44,54.0
2026-01-16 19:35:50,69.44,54.0
2026-01-16 19:35:55,69.44,54.0
2026-01-16 19:36:00,69.44,54.0
2026-01-16 19:36:05,69.44,54.0
2026-01-16 19:36:10,69.44,54.0
2026-01-16 19:36:15,69.44,54.0
2026-01-16 19:36:20,69.44,54.0
2026-01-16 19:36:25,69.44,54.0
2026-01-16 19:36:30,69.44,54.0
2026-01-16 19:36:35,69.44,54.0
2026-01-16 19:36:40,69.44,54.0
2026-01-16 19:36:45,69.44,54.0
2026-01-16 19:36:50,69.44,54.0
2026-01-16 19:36:55,69.44,54.0
2026-01-16 19:37:00,69.62,54.0
2026-01-16 19:37:05,69.62,54.0
2026-01-16 19:37:10,69.62,54.0
2026-01-16 19:37:15,69.62,54.0
2026-01-16 19:37:20,69.62,54.0
2026-01-16 19:37:25,69.44,54.0
2026-01-16 19:37:30,69.44,54.0
2026-01-16 19:37:35,69.44,54.0
2026-01-16 19:37:40,69.44,54.0
2026-01-16 19:37:45,69.44,54.0
2026-01-16 19:37:50,69.44,54.0
2026-01-16 19:37:55,69.44,54.0
2026-01-16 19:38:00,69.44,54.0
2026-01-16 19:38:05,69.44,54.0
2026-01-16 19:38:10,69.44,54.0
2026-01-16 19:38:15,69.44,54.0
2026-01-16 19:38:20,69.44,54.0
2026-01-16 19:38:25,69.44,54.0
2026-01-16 19:38:30,69.44,54.0
2026-01-16 19:38:35,69.44,54.0
2026-01-16 19:38:40,69.62,54.0
2026-01-16 19:38:45,69.62,54.0
2026-01-16 19:38:50,69.62,54.0
2026-01-16 19:38:55,69.62,54.0
2026-01-16 19:39:00,69.62,54.0
2026-01-16 19:40:51,69.62,55.0
2026-01-16 19:40:56,69.62,55.0
2026-01-16 19:41:01,69.62,55.0
2026-01-16 19:41:06,69.62,55.0
2026-01-16 19:41:11,69.62,55.0
2026-01-16 19:41:16,69.62,55.0
2026-01-16 19:41:21,69.62,55.0
2026-01-16 19:41:26,69.62,55.0
2026-01-16 19:41:31,69.62,55.0
2026-01-16 19:41:36,69.62,55.0
2026-01-16 19:41:41,69.62,55.0
2026-01-16 19:41:46,69.62,55.0
2026-01-16 19:41:51,69.62,55.0
